,emp_length,purpose,addr_state,funded_amnt_inv,int_rate,annual_inc,dti,inq_last_6mths,pub_rec,revol_util,pub_rec_bankruptcies,pnt_loan_annual
28,11.0,debt_consolidation,FL,4000.0,0.1171,106000.0,5.63,0.0,0.0,0.377,0.0,0.03773584905660377
29,0.0,credit_card,MN,8500.0,0.1171,25000.0,12.19,0.0,0.0,0.591,0.0,0.34
30,7.0,debt_consolidation,NY,4375.0,0.0751,17108.0,20.34,0.0,0.0,0.869,0.0,0.25572831423895254
31,5.0,debt_consolidation,NJ,31825.0,0.079,75000.0,14.03,0.0,0.0,0.274,0.0,0.42433333333333334
33,2.0,debt_consolidation,OR,5000.0,0.089,24044.0,11.93,0.0,0.0,0.293,0.0,0.2079520878389619
34,7.0,credit_card,CA,7000.0,0.1596,34000.0,6.35,1.0,0.0,0.605,0.0,0.20588235294117646
35,11.0,credit_card,KY,12400.0,0.1065,41000.0,11.8,2.0,0.0,0.572,0.0,0.3024390243902439
36,2.0,moving,CA,10800.0,0.0991,55596.0,5.5,0.0,0.0,0.133,0.0,0.19425857975393912
37,1.0,debt_consolidation,OH,15000.0,0.079,45000.0,8.48,0.0,0.0,0.504,0.0,0.3333333333333333
38,1.0,debt_consolidation,AZ,6000.0,0.1242,36852.0,10.62,1.0,0.0,0.665,0.0,0.16281341582546402
40,4.0,other,SC,9600.0,0.0751,68004.0,6.63,0.0,0.0,0.181,0.0,0.14116816657843656
41,11.0,debt_consolidation,NJ,12000.0,0.079,62300.0,16.7,0.0,0.0,0.21,0.0,0.1926163723916533
42,9.0,other,PA,3000.0,0.1825,65000.0,17.39,0.0,0.0,0.981,0.0,0.046153846153846156
43,11.0,debt_consolidation,RI,4400.0,0.1677,55000.0,20.01,0.0,0.0,0.99,0.0,0.08
44,11.0,debt_consolidation,LA,6000.0,0.0603,45600.0,5.34,1.0,0.0,0.325,0.0,0.13157894736842105
45,6.0,small_business,MA,14000.0,0.0991,80000.0,10.0,1.0,0.0,0.134,0.0,0.175
46,11.0,debt_consolidation,OH,5000.0,0.089,100000.0,16.33,0.0,0.0,0.621,0.0,0.05
47,6.0,other,NY,10000.0,0.1065,27000.0,11.47,0.0,0.0,0.523,0.0,0.37037037037037035
48,11.0,credit_card,CT,10000.0,0.0603,60000.0,12.74,1.0,0.0,0.195,0.0,0.16666666666666666
49,5.0,debt_consolidation,CT,11000.0,0.0662,70000.0,10.85,0.0,0.0,0.364,0.0,0.15714285714285714
50,8.0,debt_consolidation,IL,15000.0,0.0991,80000.0,9.12,2.0,0.0,0.637,0.0,0.1875
51,9.0,credit_card,CA,25350.0,0.0991,110000.0,15.71,0.0,0.0,0.62,0.0,0.23272727272727273
52,0.0,debt_consolidation,CA,7000.0,0.1065,40000.0,7.38,0.0,0.0,0.929,0.0,0.175
53,4.0,car,CA,12000.0,0.1596,50000.0,20.88,2.0,0.0,0.908,0.0,0.24
54,1.0,credit_card,TX,12000.0,0.0991,46000.0,8.11,1.0,0.0,0.521,0.0,0.2608695652173913
57,0.0,debt_consolidation,OR,10000.0,0.1242,39000.0,18.58,0.0,0.0,0.727,0.0,0.2564102564102564
58,2.0,credit_card,TX,10000.0,0.1065,51400.0,19.14,3.0,0.0,0.591,0.0,0.19455252918287938
59,1.0,debt_consolidation,TX,7100.0,0.1677,33000.0,24.0,2.0,0.0,0.912,0.0,0.21515151515151515
63,0.0,debt_consolidation,VA,8000.0,0.1677,62000.0,21.64,3.0,0.0,0.669,0.0,0.12903225806451613
65,7.0,debt_consolidation,OH,3500.0,0.1065,55000.0,5.39,1.0,0.0,0.459,0.0,0.06363636363636363
67,4.0,debt_consolidation,CA,16425.0,0.1427,44544.0,22.71,1.0,0.0,0.834,0.0,0.3687365301724138
69,2.0,credit_card,FL,15000.0,0.1465,61000.0,11.88,1.0,0.0,0.795,0.0,0.2459016393442623
71,5.0,debt_consolidation,CA,6400.0,0.1677,75000.0,20.22,0.0,0.0,0.675,0.0,0.08533333333333333
72,1.0,debt_consolidation,AL,3000.0,0.1349,33600.0,18.11,0.0,0.0,0.832,0.0,0.08928571428571429
73,3.0,credit_card,MA,12000.0,0.1677,50000.0,20.57,1.0,0.0,0.97,0.0,0.24
74,0.0,debt_consolidation,NY,14400.0,0.089,150000.0,14.85,0.0,0.0,0.55,0.0,0.096
75,11.0,debt_consolidation,NJ,12000.0,0.1465,90000.0,16.56,2.0,0.0,0.785,0.0,0.13333333333333333
76,11.0,debt_consolidation,TX,11000.0,0.1349,48000.0,21.82,3.0,0.0,0.65,0.0,0.22916666666666666
78,1.0,small_business,TX,15000.0,0.079,52000.0,9.65,1.0,0.0,0.067,0.0,0.28846153846153844
81,2.0,credit_card,PA,10000.0,0.1427,68000.0,15.39,1.0,0.0,0.813,0.0,0.14705882352941177
82,6.0,credit_card,NY,11800.0,0.1269,42000.0,9.86,0.0,0.0,0.748,0.0,0.28095238095238095
83,4.0,major_purchase,CA,4500.0,0.0603,53000.0,4.44,0.0,0.0,0.139,0.0,0.08490566037735849
84,11.0,credit_card,CA,7000.0,0.1269,35000.0,11.35,2.0,0.0,0.823,0.0,0.2
85,2.0,debt_consolidation,CA,9200.0,0.1242,60000.0,19.96,3.0,0.0,0.787,0.0,0.15333333333333332
88,9.0,debt_consolidation,AZ,12000.0,0.1629,88365.0,16.85,0.0,0.0,0.964,0.0,0.135800373451027
89,4.0,debt_consolidation,CA,12000.0,0.1349,72000.0,21.33,1.0,0.0,0.276,0.0,0.16666666666666666
90,0.0,credit_card,TX,12000.0,0.1065,62000.0,23.94,0.0,0.0,0.784,0.0,0.1935483870967742
91,3.0,credit_card,MN,7000.0,0.1065,43680.0,5.38,0.0,0.0,0.781,0.0,0.16025641025641027
93,11.0,medical,CA,10500.0,0.1269,66000.0,20.73,2.0,0.0,0.512,0.0,0.1590909090909091
94,4.0,debt_consolidation,FL,7000.0,0.1171,39120.0,21.01,0.0,1.0,0.524,0.0,0.17893660531697342
98,11.0,car,IL,3500.0,0.0603,83000.0,2.31,0.0,0.0,0.134,0.0,0.04216867469879518
100,2.0,debt_consolidation,CA,6200.0,0.0991,25000.0,20.64,2.0,0.0,0.477,0.0,0.248
102,8.0,debt_consolidation,NJ,6000.0,0.089,28800.0,13.17,0.0,0.0,0.368,0.0,0.20833333333333334
103,6.0,credit_card,NY,7200.0,0.0991,135000.0,6.12,0.0,0.0,0.796,0.0,0.05333333333333334
104,7.0,credit_card,TX,9500.0,0.089,50000.0,8.18,0.0,0.0,0.605,0.0,0.19
106,11.0,debt_consolidation,CA,24000.0,0.1065,45000.0,14.8,0.0,0.0,0.552,0.0,0.5333333333333333
107,11.0,debt_consolidation,CA,6000.0,0.1349,80000.0,11.58,0.0,0.0,0.838,0.0,0.075
108,5.0,debt_consolidation,AZ,6000.0,0.1349,50000.0,15.38,1.0,0.0,0.915,0.0,0.12
109,11.0,vacation,LA,2100.0,0.1242,30000.0,19.72,1.0,0.0,0.829,0.0,0.07
110,8.0,small_business,CT,5500.0,0.0662,110000.0,9.69,0.0,0.0,0.219,0.0,0.05
111,8.0,debt_consolidation,LA,11000.0,0.0662,45608.0,20.5,0.0,0.0,0.587,0.0,0.24118575688475705
113,5.0,debt_consolidation,IL,8000.0,0.1269,35000.0,10.05,0.0,0.0,0.977,0.0,0.22857142857142856
114,1.0,credit_card,CA,10000.0,0.1825,75000.0,24.14,0.0,0.0,0.963,0.0,0.13333333333333333
115,9.0,credit_card,NV,8000.0,0.1171,35000.0,9.7,0.0,0.0,0.465,0.0,0.22857142857142856
116,6.0,debt_consolidation,CA,10000.0,0.089,24000.0,7.0,0.0,0.0,0.495,0.0,0.4166666666666667
117,2.0,debt_consolidation,OH,12000.0,0.1171,126000.0,13.32,0.0,0.0,0.541,0.0,0.09523809523809523
118,1.0,debt_consolidation,CA,10000.0,0.079,43000.0,25.26,0.0,0.0,0.372,0.0,0.23255813953488372
119,1.0,debt_consolidation,CA,12000.0,0.0991,50000.0,16.44,1.0,0.0,0.293,0.0,0.24
121,4.0,debt_consolidation,OR,19725.0,0.1065,45000.0,22.8,0.0,0.0,0.542,0.0,0.4388888888888889
122,3.0,debt_consolidation,NY,10000.0,0.0991,31200.0,14.81,0.0,0.0,0.27,0.0,0.32051282051282054
123,4.0,debt_consolidation,NV,13650.0,0.1242,66000.0,24.09,0.0,0.0,0.565,0.0,0.20681818181818182
125,11.0,debt_consolidation,CA,18000.0,0.079,56964.0,27.55,0.0,0.0,0.766,0.0,0.31598904571308195
126,7.0,debt_consolidation,FL,2500.0,0.1427,49500.0,10.33,1.0,0.0,0.377,0.0,0.050505050505050504
128,6.0,debt_consolidation,CA,35000.0,0.089,125000.0,22.71,0.0,0.0,0.348,0.0,0.28
129,3.0,credit_card,NJ,10000.0,0.0751,33000.0,9.75,1.0,0.0,0.006,0.0,0.30303030303030304
130,0.0,credit_card,VA,7000.0,0.1269,30000.0,15.8,2.0,0.0,0.476,0.0,0.23333333333333334
131,8.0,home_improvement,CA,24000.0,0.1596,90000.0,9.17,1.0,0.0,0.712,0.0,0.26666666666666666
132,5.0,medical,OR,10625.0,0.0751,23000.0,18.89,1.0,0.0,0.434,0.0,0.46195652173913043
133,2.0,debt_consolidation,PA,5000.0,0.1465,24000.0,18.3,2.0,0.0,0.333,0.0,0.20833333333333334
134,11.0,credit_card,MD,8850.0,0.0662,62000.0,17.71,0.0,0.0,0.359,0.0,0.14274193548387096
135,4.0,debt_consolidation,GA,6375.0,0.0751,44000.0,4.8,0.0,0.0,0.58,0.0,0.14488636363636365
136,1.0,credit_card,NJ,6000.0,0.1171,90000.0,2.97,0.0,0.0,0.566,0.0,0.06666666666666667
137,11.0,credit_card,PA,11100.0,0.0662,41000.0,29.85,1.0,0.0,0.623,0.0,0.2707317073170732
139,5.0,small_business,WV,6200.0,0.0603,26500.0,18.2,0.0,0.0,0.16,0.0,0.2339622641509434
140,1.0,debt_consolidation,GA,15000.0,0.1864,54000.0,19.69,2.0,0.0,0.903,0.0,0.2777777777777778
141,2.0,other,MD,4200.0,0.1171,53000.0,16.91,0.0,0.0,0.797,0.0,0.07924528301886792
142,4.0,debt_consolidation,CA,14000.0,0.1427,52800.0,7.36,1.0,0.0,0.708,0.0,0.26515151515151514
143,1.0,debt_consolidation,GA,8875.0,0.0751,38000.0,23.53,1.0,0.0,0.621,0.0,0.23355263157894737
144,7.0,debt_consolidation,CA,13500.0,0.0991,38000.0,12.38,1.0,0.0,0.673,0.0,0.35526315789473684
145,2.0,debt_consolidation,MN,12000.0,0.0991,42000.0,7.83,2.0,0.0,0.654,0.0,0.2857142857142857
148,6.0,home_improvement,NJ,6000.0,0.1065,87000.0,12.86,0.0,0.0,0.405,0.0,0.06896551724137931
151,8.0,debt_consolidation,CA,10000.0,0.1171,60000.0,22.08,0.0,0.0,0.293,0.0,0.16666666666666666
152,5.0,credit_card,GA,12000.0,0.1629,80000.0,18.18,0.0,0.0,0.972,0.0,0.15
154,5.0,major_purchase,IL,7200.0,0.1242,48000.0,17.43,1.0,0.0,0.802,0.0,0.15
155,1.0,debt_consolidation,AZ,5600.0,0.1465,85000.0,12.24,3.0,0.0,0.908,0.0,0.06588235294117648
156,0.0,debt_consolidation,CA,11975.0,0.1427,57000.0,10.86,1.0,0.0,0.815,0.0,0.21052631578947367
157,2.0,credit_card,MD,8500.0,0.0603,25000.0,1.73,0.0,0.0,0.28,0.0,0.34
158,2.0,credit_card,PA,8000.0,0.0991,34000.0,18.28,0.0,0.0,0.785,0.0,0.23529411764705882
159,11.0,credit_card,OR,8000.0,0.1242,40000.0,15.0,0.0,0.0,0.882,0.0,0.2
161,2.0,house,FL,15000.0,0.1727,44400.0,3.59,0.0,1.0,0.916,1.0,0.33783783783783783
162,2.0,debt_consolidation,VT,10000.0,0.0991,30000.0,11.24,1.0,0.0,0.668,0.0,0.3333333333333333
163,5.0,credit_card,NY,10000.0,0.0662,70000.0,16.78,0.0,0.0,0.69,0.0,0.14285714285714285
164,3.0,car,CA,8000.0,0.1465,28000.0,12.6,1.0,0.0,0.543,0.0,0.2857142857142857
165,2.0,debt_consolidation,MI,22000.0,0.0991,50000.0,13.22,4.0,0.0,0.498,0.0,0.44
166,11.0,car,TX,6000.0,0.1427,94800.0,24.53,1.0,0.0,0.959,0.0,0.06329113924050633
168,nan,debt_consolidation,CA,2500.0,0.0751,12000.0,16.3,2.0,0.0,0.422,0.0,0.20833333333333334
169,2.0,credit_card,DC,13500.0,0.0991,36000.0,22.93,1.0,0.0,0.672,0.0,0.375
170,2.0,debt_consolidation,NJ,25000.0,0.1242,225000.0,8.32,0.0,0.0,0.346,0.0,0.1111111111111111
171,2.0,small_business,CA,10000.0,0.1349,45900.0,24.97,2.0,0.0,0.483,0.0,0.2178649237472767
172,4.0,debt_consolidation,WA,2500.0,0.1349,27200.0,6.44,0.0,0.0,0.681,0.0,0.09191176470588236
173,1.0,debt_consolidation,FL,7325.0,0.1269,42000.0,22.57,3.0,0.0,0.65,0.0,0.1744047619047619
174,5.0,credit_card,NY,4000.0,0.1242,135000.0,12.12,3.0,0.0,0.857,0.0,0.02962962962962963
175,5.0,small_business,CA,10000.0,0.1349,65000.0,6.92,2.0,0.0,0.695,0.0,0.15384615384615385
176,0.0,debt_consolidation,IL,7750.0,0.1727,24000.0,16.1,1.0,0.0,0.671,0.0,0.3229166666666667
178,11.0,debt_consolidation,NY,9600.0,0.1242,65000.0,11.65,0.0,0.0,0.709,0.0,0.1476923076923077
180,3.0,credit_card,CT,14000.0,0.1065,30000.0,15.52,0.0,0.0,0.656,0.0,0.4666666666666667
181,11.0,debt_consolidation,CA,13350.0,0.1242,43000.0,20.57,0.0,0.0,0.953,0.0,0.31046511627906975
182,11.0,debt_consolidation,WI,15000.0,0.1677,42000.0,19.63,2.0,0.0,0.749,0.0,0.35714285714285715
183,8.0,debt_consolidation,CA,15000.0,0.1727,75000.0,16.03,0.0,0.0,0.759,0.0,0.2
185,2.0,debt_consolidation,TX,35000.0,0.1065,168000.0,3.17,1.0,0.0,0.014,0.0,0.20833333333333334
186,9.0,credit_card,SD,9000.0,0.1065,74000.0,8.89,0.0,0.0,0.717,0.0,0.12162162162162163
188,1.0,debt_consolidation,IL,16000.0,0.1269,58500.0,20.64,0.0,0.0,0.893,0.0,0.27350427350427353
189,5.0,debt_consolidation,VA,13500.0,0.1269,71000.0,11.97,2.0,0.0,0.777,0.0,0.19014084507042253
190,11.0,debt_consolidation,WA,24000.0,0.1269,75000.0,11.6,0.0,0.0,0.846,0.0,0.32
191,5.0,credit_card,CA,12000.0,0.1065,60000.0,10.84,1.0,0.0,0.488,0.0,0.2
194,11.0,debt_consolidation,VA,14000.0,0.0662,66000.0,11.15,1.0,0.0,0.354,0.0,0.21212121212121213
195,8.0,other,NY,12000.0,0.1427,70000.0,8.4,1.0,0.0,0.862,0.0,0.17142857142857143
196,11.0,debt_consolidation,RI,25000.0,0.1171,100000.0,6.88,1.0,0.0,0.891,0.0,0.25
197,5.0,debt_consolidation,NY,9000.0,0.1269,50000.0,17.81,1.0,0.0,0.554,0.0,0.18
198,4.0,debt_consolidation,OH,13250.0,0.1065,35000.0,24.93,2.0,0.0,0.587,0.0,0.37857142857142856
199,6.0,debt_consolidation,CA,20000.0,0.1349,75000.0,22.38,1.0,0.0,0.908,0.0,0.26666666666666666
200,5.0,medical,WI,3000.0,0.1465,71000.0,21.84,1.0,0.0,0.887,0.0,0.04225352112676056
201,11.0,debt_consolidation,AR,7350.0,0.1065,48000.0,11.93,0.0,0.0,0.775,0.0,0.153125
202,5.0,debt_consolidation,FL,11500.0,0.1527,36000.0,21.1,1.0,0.0,0.767,0.0,0.3194444444444444
203,11.0,debt_consolidation,CA,13650.0,0.1242,86000.0,12.29,1.0,0.0,0.734,0.0,0.15872093023255815
204,3.0,debt_consolidation,CA,10500.0,0.1629,30000.0,15.0,1.0,0.0,0.555,0.0,0.35
205,2.0,debt_consolidation,CA,11975.0,0.0991,60000.0,15.5,0.0,0.0,0.857,0.0,0.2
206,3.0,credit_card,OH,6000.0,0.089,34000.0,14.51,2.0,0.0,0.648,0.0,0.17647058823529413
207,11.0,credit_card,CA,11500.0,0.1527,44200.0,21.69,1.0,0.0,0.9,0.0,0.26018099547511314
208,7.0,debt_consolidation,MD,7000.0,0.1242,82000.0,12.0,1.0,0.0,0.716,0.0,0.08536585365853659
210,2.0,moving,TX,2000.0,0.1527,41000.0,17.74,1.0,0.0,0.964,0.0,0.04878048780487805
211,0.0,credit_card,KS,11625.0,0.1349,36000.0,19.33,1.0,0.0,0.847,0.0,0.3229166666666667
212,11.0,debt_consolidation,TX,15075.0,0.1427,35000.0,20.16,1.0,0.0,0.896,0.0,0.4307142857142857
213,1.0,credit_card,CT,5300.0,0.1527,30000.0,24.88,2.0,0.0,0.827,0.0,0.17666666666666667
214,0.0,home_improvement,PA,8200.0,0.0662,40000.0,11.1,1.0,0.0,0.255,0.0,0.205
215,9.0,credit_card,TX,12000.0,0.1242,105000.0,13.98,1.0,0.0,0.75,0.0,0.11428571428571428
216,4.0,credit_card,FL,8650.0,0.1427,45000.0,7.6,2.0,0.0,0.589,0.0,0.1922222222222222
219,2.0,debt_consolidation,CA,11975.0,0.1242,83000.0,11.81,2.0,0.0,0.511,0.0,0.14457831325301204
220,0.0,moving,CA,9500.0,0.1269,52500.0,23.54,2.0,0.0,0.753,0.0,0.18095238095238095
221,0.0,debt_consolidation,AZ,7400.0,0.1349,25000.0,8.45,0.0,0.0,0.928,0.0,0.296
222,11.0,debt_consolidation,FL,14400.0,0.1349,60000.0,16.92,1.0,0.0,0.65,0.0,0.24
224,3.0,debt_consolidation,GA,7200.0,0.079,68000.0,7.98,0.0,0.0,0.829,0.0,0.10588235294117647
227,0.0,major_purchase,CA,4000.0,0.0751,65000.0,18.17,0.0,0.0,0.507,0.0,0.06153846153846154
228,11.0,debt_consolidation,CA,1500.0,0.1727,144000.0,8.23,0.0,0.0,0.978,0.0,0.010416666666666666
229,2.0,credit_card,NY,19600.0,0.1242,75000.0,11.62,0.0,0.0,0.501,0.0,0.2613333333333333
230,7.0,debt_consolidation,AZ,2500.0,0.1171,29000.0,18.7,0.0,0.0,0.667,0.0,0.08620689655172414
231,2.0,credit_card,CA,10000.0,0.1269,70000.0,2.69,0.0,0.0,0.702,0.0,0.14285714285714285
232,5.0,credit_card,OH,10000.0,0.0662,45000.0,26.85,0.0,0.0,0.704,0.0,0.2222222222222222
233,5.0,other,WA,4225.0,0.1242,55200.0,17.61,1.0,0.0,0.737,0.0,0.07653985507246377
234,7.0,vacation,CA,3500.0,0.079,61440.0,6.46,0.0,0.0,0.555,0.0,0.056966145833333336
235,11.0,debt_consolidation,FL,12000.0,0.0662,56000.0,13.65,0.0,0.0,0.803,0.0,0.21428571428571427
236,0.0,debt_consolidation,IL,16500.0,0.089,47000.0,9.06,1.0,0.0,0.388,0.0,0.35106382978723405
238,1.0,credit_card,KS,12000.0,0.1465,71000.0,14.87,2.0,0.0,0.71,0.0,0.16901408450704225
240,8.0,credit_card,CA,10800.0,0.1242,135000.0,12.12,0.0,0.0,0.745,0.0,0.08
241,11.0,credit_card,GA,14000.0,0.1242,63000.0,7.35,0.0,0.0,0.978,0.0,0.2222222222222222
243,5.0,debt_consolidation,NM,6000.0,0.1349,50000.0,15.58,1.0,0.0,0.836,0.0,0.12
244,5.0,debt_consolidation,TX,12000.0,0.0991,80000.0,14.83,0.0,0.0,0.677,0.0,0.15
245,4.0,debt_consolidation,WA,10000.0,0.1242,45000.0,10.45,0.0,0.0,0.516,0.0,0.2222222222222222
246,2.0,vacation,NY,8000.0,0.079,78000.0,6.09,1.0,0.0,0.559,0.0,0.10256410256410256
247,1.0,debt_consolidation,OR,14125.0,0.0991,33000.0,23.13,3.0,0.0,0.66,0.0,0.42803030303030304
248,5.0,debt_consolidation,WA,14000.0,0.1269,62800.0,19.24,1.0,0.0,0.645,0.0,0.2229299363057325
250,11.0,vacation,NC,4000.0,0.1903,80000.0,20.59,2.0,0.0,0.226,0.0,0.05
251,2.0,debt_consolidation,CO,4000.0,0.1269,25000.0,6.86,3.0,0.0,0.797,0.0,0.16
252,11.0,debt_consolidation,TX,10500.0,0.0603,65000.0,10.36,0.0,0.0,0.187,0.0,0.16153846153846155
253,11.0,car,PA,5500.0,0.079,59000.0,6.65,0.0,1.0,0.433,0.0,0.09322033898305085
254,1.0,debt_consolidation,CA,7350.0,0.1171,33000.0,22.51,1.0,0.0,0.779,0.0,0.22272727272727272
255,11.0,credit_card,MO,10000.0,0.1242,39000.0,18.31,1.0,0.0,0.906,0.0,0.2564102564102564
256,11.0,debt_consolidation,OH,12000.0,0.0751,42000.0,10.74,1.0,0.0,0.43,0.0,0.2857142857142857
259,11.0,other,NC,4500.0,0.089,50700.0,23.43,0.0,0.0,0.244,0.0,0.08875739644970414
260,1.0,credit_card,LA,17975.0,0.1242,75000.0,12.51,2.0,0.0,0.661,0.0,0.24
262,6.0,debt_consolidation,GA,12000.0,0.1349,40000.0,15.72,0.0,0.0,0.805,0.0,0.3
263,11.0,credit_card,CA,10000.0,0.1349,50000.0,5.88,2.0,0.0,0.476,0.0,0.2
264,7.0,other,WI,6000.0,0.079,80000.0,8.87,4.0,0.0,0.303,0.0,0.075
265,4.0,debt_consolidation,MD,12000.0,0.1269,40000.0,22.2,1.0,0.0,0.555,0.0,0.3
266,7.0,other,CA,12000.0,0.089,80000.0,9.13,0.0,0.0,0.835,0.0,0.15
267,2.0,debt_consolidation,CA,7000.0,0.1171,75000.0,15.57,0.0,0.0,0.941,0.0,0.09333333333333334
269,1.0,other,FL,1400.0,0.079,28800.0,10.0,1.0,0.0,0.099,0.0,0.04861111111111111
271,9.0,debt_consolidation,CA,3200.0,0.0991,61200.0,2.16,0.0,1.0,0.333,1.0,0.05228758169934641
272,1.0,medical,CA,8000.0,0.079,40000.0,13.35,0.0,0.0,0.344,0.0,0.2
274,9.0,home_improvement,NJ,5000.0,0.0603,54000.0,3.82,0.0,0.0,0.04,0.0,0.09259259259259259
275,11.0,small_business,MI,1800.0,0.0662,18000.0,23.8,0.0,0.0,0.398,0.0,0.1
276,5.0,debt_consolidation,IL,35000.0,0.089,85000.0,17.73,0.0,0.0,0.615,0.0,0.4117647058823529
277,5.0,credit_card,NY,17950.0,0.089,78000.0,7.0,1.0,0.0,0.663,0.0,0.23076923076923078
278,11.0,debt_consolidation,WV,14000.0,0.079,45600.0,19.74,0.0,0.0,0.639,0.0,0.30701754385964913
279,2.0,debt_consolidation,TX,5000.0,0.1242,70000.0,20.06,1.0,0.0,0.542,0.0,0.07142857142857142
280,4.0,credit_card,IL,8000.0,0.1596,70000.0,14.04,2.0,0.0,0.919,0.0,0.11428571428571428
281,9.0,debt_consolidation,MA,10000.0,0.0603,80000.0,12.99,0.0,0.0,0.452,0.0,0.125
282,5.0,debt_consolidation,NJ,9975.0,0.0751,50000.0,4.63,2.0,0.0,0.257,0.0,0.2
283,11.0,debt_consolidation,CO,12000.0,0.1242,35000.0,18.51,0.0,0.0,0.757,0.0,0.34285714285714286
284,3.0,debt_consolidation,MI,23175.0,0.079,65000.0,27.99,0.0,0.0,0.47,0.0,0.3569230769230769
286,11.0,debt_consolidation,WV,4800.0,0.1527,75000.0,9.3,1.0,0.0,0.737,0.0,0.064
287,6.0,debt_consolidation,VA,7300.0,0.1171,35000.0,16.42,1.0,0.0,0.446,0.0,0.20857142857142857
288,6.0,debt_consolidation,FL,10400.0,0.0991,40000.0,11.67,2.0,0.0,0.806,0.0,0.26
289,1.0,house,FL,6600.0,0.0991,100000.0,15.53,2.0,0.0,0.278,0.0,0.066
290,7.0,debt_consolidation,NJ,12000.0,0.089,40000.0,9.45,0.0,0.0,0.374,0.0,0.3
291,11.0,debt_consolidation,NY,13250.0,0.1727,52000.0,23.7,0.0,0.0,0.915,0.0,0.2548076923076923
292,3.0,debt_consolidation,CA,12000.0,0.1171,92500.0,15.97,2.0,0.0,0.562,0.0,0.12972972972972974
293,9.0,debt_consolidation,CA,25000.0,0.0991,61000.0,10.35,0.0,0.0,0.494,0.0,0.4098360655737705
294,11.0,other,HI,6000.0,0.1065,36000.0,14.43,1.0,0.0,0.485,0.0,0.16666666666666666
295,11.0,credit_card,CA,12000.0,0.0751,68000.0,7.08,1.0,0.0,0.556,0.0,0.17647058823529413
296,1.0,credit_card,CA,14400.0,0.1171,80000.0,16.35,1.0,0.0,0.484,0.0,0.18
297,11.0,credit_card,NY,10000.0,0.1242,43000.0,11.58,0.0,0.0,0.655,0.0,0.23255813953488372
298,1.0,credit_card,NY,8000.0,0.1171,150000.0,2.48,0.0,0.0,0.562,0.0,0.05333333333333334
299,5.0,credit_card,NV,8000.0,0.1629,50000.0,13.22,0.0,0.0,0.729,0.0,0.16
302,2.0,credit_card,PA,13250.0,0.1171,35000.0,22.35,1.0,0.0,0.672,0.0,0.37857142857142856
303,6.0,debt_consolidation,CA,14000.0,0.1427,80000.0,16.21,0.0,0.0,0.962,0.0,0.175
305,11.0,credit_card,NY,10000.0,0.1629,40000.0,24.39,1.0,0.0,0.964,0.0,0.25
307,1.0,debt_consolidation,OR,4000.0,0.0603,55000.0,7.05,0.0,0.0,0.438,0.0,0.07272727272727272
308,6.0,debt_consolidation,CA,13000.0,0.0991,110000.0,8.38,0.0,0.0,0.813,0.0,0.11818181818181818
